edad,edad2,educ,horastrabj,nhogar,P21,PP04C,mujer,casado_unido,tiene_cobertura_salud
30,900,15.0,70.0,2,1315000.0,9.0,0,1,1
30,900,15.0,70.0,2,657500.0,12.0,1,1,1
44,1936,15.0,49.0,5,3287500.0,10.0,0,1,1
46,2116,19.0,49.0,5,2761500.0,12.0,1,1,1
36,1296,17.0,32.0,3,1183500.0,12.0,0,1,1
46,2116,15.0,32.0,3,1052000.0,12.0,1,1,1
44,1936,15.0,40.0,2,483920.0,7.0,1,1,1
50,2500,17.0,48.0,4,1183500.0,11.0,1,1,1
26,676,15.0,48.0,4,1052000.0,2.0,0,0,1
28,784,17.0,60.0,2,1972500.0,12.0,0,0,1
47,2209,17.0,30.0,4,789000.0,8.0,1,1,1
66,4356,17.0,12.0,1,1183500.0,1.0,1,0,1
45,2025,17.0,45.0,3,1052000.0,9.0,1,0,1
43,1849,15.0,35.0,3,789000.0,1.0,0,1,0
46,2116,15.0,35.0,3,657500.0,7.0,1,1,1
58,3364,6.0,45.0,4,526000.0,4.0,0,1,0
53,2809,8.0,45.0,4,289300.0,1.0,1,1,0
20,400,12.0,45.0,4,526000.0,2.0,0,0,0
60,3600,12.0,30.0,3,394500.0,1.0,0,1,1
61,3721,12.0,30.0,3,657500.0,11.0,1,1,1
32,1024,12.0,30.0,3,657500.0,6.0,0,0,1
49,2401,12.0,45.0,3,1709500.0,7.0,1,1,1
46,2116,12.0,45.0,3,1052000.0,9.0,0,1,1
52,2704,12.0,30.0,5,657500.0,9.0,1,1,1
43,1849,12.0,48.0,2,986250.0,5.0,0,1,1
41,1681,14.0,48.0,2,854750.0,6.0,1,1,1
44,1936,12.0,24.0,3,526000.0,2.0,0,0,1
44,1936,17.0,30.0,1,1578000.0,12.0,1,0,1
29,841,17.0,40.0,2,920500.0,8.0,1,1,1
27,729,12.0,40.0,2,1183500.0,8.0,0,1,1
52,2704,10.0,60.0,9,657500.0,6.0,1,0,1
34,1156,12.0,60.0,9,657500.0,9.0,1,0,1
32,1024,9.0,60.0,9,1052000.0,4.0,0,0,1
72,5184,6.0,16.0,2,263000.0,1.0,0,1,1
29,841,12.0,35.0,1,1052000.0,7.0,0,0,1
68,4624,19.0,9.0,2,3945000.0,1.0,1,1,1
63,3969,16.0,9.0,2,3945000.0,8.0,0,1,1
51,2601,12.0,44.0,4,1841000.0,12.0,0,1,1
50,2500,17.0,44.0,4,2630000.0,2.0,1,1,1
44,1936,17.0,48.0,7,2367000.0,3.0,0,1,1
45,2025,17.0,48.0,7,1052000.0,3.0,1,1,1
43,1849,17.0,40.0,3,1052000.0,1.0,1,0,1
37,1369,19.0,53.0,1,2498500.0,12.0,0,0,1
35,1225,17.0,41.0,3,920500.0,9.0,1,1,1
35,1225,15.0,41.0,3,1183500.0,12.0,0,1,1
43,1849,12.0,47.0,5,657500.0,7.0,0,1,1
40,1600,12.0,47.0,5,789000.0,6.0,1,1,1
53,2809,17.0,50.0,3,1512250.0,7.0,1,0,1
25,625,15.0,50.0,3,447100.0,7.0,1,0,1
55,3025,12.0,0.0,2,263000.0,1.0,0,1,1
61,3721,10.0,40.0,2,1578000.0,8.0,1,1,1
47,2209,17.0,28.0,3,1183500.0,9.0,1,1,1
43,1849,7.0,28.0,3,920500.0,1.0,0,1,1
35,1225,17.0,40.0,4,1972500.0,10.0,0,1,1
29,841,12.0,40.0,4,920500.0,10.0,1,1,1
60,3600,12.0,24.0,2,599640.0,1.0,0,1,1
59,3481,8.0,62.0,2,263000.0,2.0,1,0,0
21,441,8.0,62.0,2,263000.0,2.0,0,0,1
38,1444,12.0,40.0,3,920500.0,7.0,1,1,1
65,4225,12.0,84.0,2,131500.0,1.0,1,1,1
46,2116,14.0,48.0,3,1076985.0,10.0,1,0,1
52,2704,17.0,10.0,1,526000.0,2.0,1,0,1
34,1156,6.0,24.0,1,394500.0,2.0,0,0,1
34,1156,5.0,36.0,7,946800.0,4.0,0,1,0
25,625,12.0,60.0,1,789000.0,6.0,0,0,0
65,4225,7.0,8.0,1,526000.0,1.0,1,0,1
48,2304,12.0,9.0,4,1972500.0,1.0,0,1,0
80,6400,3.0,22.0,1,65750.0,1.0,1,1,1
32,1024,12.0,48.0,4,789000.0,12.0,0,1,1
47,2209,17.0,24.0,3,3024500.0,7.0,1,0,1
41,1681,12.0,35.0,4,1183500.0,11.0,0,1,1
38,1444,12.0,35.0,4,1183500.0,11.0,1,1,1
50,2500,17.0,30.0,4,263000.0,1.0,0,1,1
61,3721,10.0,40.0,1,1052000.0,12.0,0,0,1
43,1849,8.0,30.0,4,591750.0,12.0,0,1,0
40,1600,8.0,66.0,4,920500.0,2.0,0,1,1
38,1444,10.0,60.0,9,1262400.0,6.0,0,1,1
27,729,12.0,35.0,7,920500.0,1.0,1,0,0
23,529,12.0,35.0,7,368200.0,5.0,0,0,0
55,3025,15.0,30.0,1,1052000.0,6.0,0,0,1
42,1764,12.0,6.0,1,52600.0,3.0,0,0,0
33,1089,13.0,40.0,4,1025700.0,12.0,1,1,1
31,961,15.0,40.0,4,920500.0,5.0,0,1,1
41,1681,17.0,50.0,1,657500.0,1.0,1,0,1
39,1521,17.0,35.0,4,2630000.0,1.0,1,1,1
71,5041,4.0,16.0,2,526000.0,1.0,1,1,1
36,1296,17.0,0.0,3,1315000.0,12.0,0,1,1
58,3364,17.0,40.0,3,5128500.0,12.0,0,1,1
68,4624,6.0,15.0,2,526000.0,1.0,0,1,1
45,2025,12.0,42.0,4,1183500.0,8.0,0,1,1
45,2025,15.0,42.0,4,1709500.0,7.0,1,1,1
74,5476,17.0,24.0,1,2367000.0,1.0,0,0,1
35,1225,17.0,48.0,2,1709500.0,10.0,1,1,1
