edad,edad2,educ,horastrabj,nhogar,P21,PP04C,mujer,casado_unido,asalariado,tiene_cobertura_salud
46,2116,17.0,78.0,3,2800000.0,10.0,0,1,1,1
46,2116,17.0,78.0,3,2000000.0,10.0,1,1,1,1
55,3025,17.0,70.0,4,700000.0,3.0,0,1,0,1
52,2704,17.0,70.0,4,700000.0,3.0,1,1,0,1
41,1681,14.0,40.0,4,900000.0,8.0,1,1,1,1
43,1849,17.0,40.0,4,1000000.0,8.0,1,1,1,1
39,1521,12.0,72.0,4,3000000.0,6.0,0,1,0,0
38,1444,16.0,19.0,1,1500000.0,1.0,1,0,0,1
30,900,12.0,40.0,3,1100000.0,11.0,0,0,1,1
24,576,12.0,40.0,3,1200000.0,7.0,0,0,1,1
62,3844,17.0,16.0,2,300000.0,1.0,1,1,0,1
63,3969,17.0,16.0,2,600000.0,12.0,1,1,1,1
58,3364,17.0,45.0,3,2500000.0,11.0,1,0,1,1
25,625,17.0,45.0,3,900000.0,11.0,1,0,1,1
51,2601,10.0,60.0,4,1000000.0,11.0,0,0,1,1
40,1600,12.0,84.0,5,400000.0,1.0,1,1,0,0
40,1600,9.0,40.0,1,800000.0,4.0,0,0,1,0
52,2704,8.0,32.0,4,800000.0,9.0,0,0,1,1
34,1156,15.0,45.0,4,1100000.0,12.0,1,1,1,1
32,1024,15.0,45.0,4,892000.0,6.0,0,1,1,1
46,2116,12.0,36.0,4,0.0,3.0,1,1,0,1
45,2025,9.0,0.0,3,400000.0,2.0,1,0,0,0
42,1764,15.0,42.0,3,700000.0,2.0,1,1,1,1
40,1600,12.0,42.0,3,1400000.0,4.0,0,1,1,1
28,784,16.0,48.0,3,700000.0,1.0,1,0,0,1
37,1369,12.0,48.0,2,1300000.0,8.0,1,1,1,1
33,1089,12.0,48.0,2,890000.0,8.0,1,1,1,1
35,1225,12.0,76.0,4,880000.0,9.0,0,1,1,0
57,3249,6.0,43.0,2,480000.0,6.0,0,1,1,0
56,3136,6.0,40.0,3,720000.0,7.0,0,1,1,0
56,3136,17.0,40.0,5,1000000.0,1.0,1,0,0,1
25,625,16.0,40.0,5,1200000.0,5.0,1,0,1,0
35,1225,1.0,36.0,4,200000.0,1.0,1,0,0,0
58,3364,0.0,36.0,4,20000.0,1.0,1,0,0,0
49,2401,12.0,44.0,4,1500000.0,12.0,0,1,1,1
44,1936,12.0,42.0,1,1800000.0,9.0,0,0,1,1
24,576,12.0,30.0,5,500000.0,6.0,1,1,1,0
34,1156,12.0,35.0,3,900000.0,8.0,0,1,1,1
30,900,12.0,72.0,4,600000.0,1.0,0,1,0,0
36,1296,12.0,48.0,4,1600000.0,8.0,0,1,1,1
34,1156,14.0,40.0,5,1700000.0,9.0,1,1,1,1
26,676,8.0,40.0,5,1500000.0,6.0,0,1,1,1
37,1369,15.0,48.0,4,2800000.0,4.0,0,1,0,1
65,4225,6.0,4.0,5,80000.0,7.0,1,0,1,1
43,1849,6.0,4.0,5,700000.0,1.0,0,0,0,0
58,3364,6.0,48.0,3,900000.0,8.0,0,0,1,1
28,784,15.0,48.0,3,700000.0,6.0,1,0,1,0
62,3844,7.0,44.0,4,2000000.0,6.0,0,0,0,1
53,2809,17.0,40.0,4,1900000.0,2.0,0,1,0,1
50,2500,15.0,40.0,4,1900000.0,2.0,1,1,0,0
47,2209,17.0,50.0,3,1000000.0,11.0,0,1,1,1
49,2401,17.0,50.0,3,700000.0,7.0,1,1,1,1
24,576,15.0,12.0,2,135000.0,10.0,1,0,1,1
37,1369,15.0,12.0,2,1500000.0,12.0,1,0,1,1
26,676,17.0,40.0,1,1500000.0,8.0,1,0,1,1
32,1024,12.0,48.0,4,800000.0,8.0,0,1,1,1
30,900,11.0,48.0,4,800000.0,1.0,1,1,0,1
54,2916,15.0,30.0,2,820000.0,8.0,1,0,1,1
55,3025,15.0,30.0,5,750000.0,9.0,1,1,1,1
29,841,16.0,30.0,5,450000.0,2.0,1,0,1,0
20,400,12.0,30.0,5,250000.0,3.0,0,0,0,1
36,1296,17.0,72.0,4,3000000.0,10.0,1,1,1,1
45,2025,15.0,84.0,1,1000000.0,1.0,1,0,0,0
45,2025,15.0,44.0,4,1000000.0,8.0,1,1,1,1
43,1849,12.0,44.0,4,1250000.0,1.0,0,1,0,1
27,729,14.0,49.0,1,700000.0,1.0,1,0,0,1
45,2025,6.0,50.0,1,1800000.0,9.0,0,0,1,1
74,5476,10.0,70.0,2,400000.0,4.0,0,1,1,1
61,3721,6.0,70.0,2,100000.0,1.0,1,1,0,1
46,2116,12.0,45.0,4,900000.0,12.0,0,1,1,1
45,2025,15.0,45.0,4,1600000.0,8.0,1,1,1,1
56,3136,10.0,48.0,1,750000.0,6.0,0,0,1,0
44,1936,17.0,48.0,4,1000000.0,2.0,0,0,0,1
26,676,15.0,48.0,4,730000.0,7.0,1,0,1,1
55,3025,12.0,25.0,16,1200000.0,12.0,0,1,1,1
53,2809,12.0,25.0,16,700000.0,12.0,1,1,1,1
36,1296,12.0,25.0,16,2000000.0,12.0,1,0,1,1
32,1024,7.0,25.0,16,640000.0,3.0,1,0,1,1
25,625,8.0,25.0,16,660000.0,11.0,1,0,1,1
26,676,17.0,54.0,2,900000.0,9.0,1,0,1,0
30,900,17.0,45.0,1,1000000.0,12.0,1,0,1,1
27,729,12.0,56.0,4,230000.0,6.0,1,0,1,0
22,484,7.0,56.0,4,400000.0,7.0,0,0,1,0
51,2601,3.0,48.0,1,0.0,7.0,1,0,1,1
48,2304,10.0,40.0,4,1200000.0,5.0,0,1,1,0
25,625,12.0,40.0,4,1000000.0,5.0,0,0,1,1
49,2401,7.0,16.0,4,400000.0,1.0,0,1,0,0
35,1225,12.0,40.0,4,1700000.0,12.0,0,1,1,1
37,1369,12.0,40.0,4,1030000.0,9.0,1,1,1,1
53,2809,9.0,90.0,4,200000.0,2.0,1,1,0,1
28,784,15.0,90.0,4,0.0,2.0,1,0,0,1
43,1849,12.0,15.0,4,60000.0,1.0,1,0,0,0
44,1936,12.0,20.0,7,78000.0,6.0,1,1,1,1
41,1681,16.0,48.0,3,1200000.0,4.0,1,0,1,1
53,2809,9.0,48.0,2,1200000.0,1.0,0,1,0,1
56,3136,17.0,8.0,5,1000000.0,7.0,1,1,0,1
59,3481,12.0,8.0,5,2000000.0,8.0,0,1,1,1
58,3364,12.0,40.0,3,1300000.0,4.0,1,0,1,0
50,2500,12.0,40.0,3,1200000.0,2.0,1,1,1,1
37,1369,17.0,48.0,4,1800000.0,10.0,1,1,1,1
37,1369,12.0,40.0,6,1200000.0,8.0,0,1,1,1
38,1444,12.0,40.0,6,1600000.0,6.0,1,1,1,1
24,576,12.0,48.0,3,420000.0,1.0,1,1,0,0
25,625,9.0,48.0,3,650000.0,4.0,0,1,1,0
28,784,12.0,44.0,4,900000.0,6.0,0,0,1,0
21,441,12.0,44.0,4,800000.0,1.0,1,0,0,0
19,361,12.0,44.0,4,700000.0,6.0,1,0,1,0
35,1225,12.0,21.0,4,100000.0,1.0,1,1,0,1
49,2401,12.0,45.0,1,700000.0,12.0,0,0,1,1
58,3364,12.0,30.0,7,800000.0,11.0,0,1,1,1
52,2704,15.0,30.0,7,700000.0,9.0,1,1,1,1
39,1521,12.0,48.0,1,900000.0,6.0,0,0,0,0
70,4900,12.0,40.0,2,400000.0,1.0,0,1,0,1
63,3969,15.0,30.0,1,720000.0,9.0,0,0,1,1
54,2916,17.0,40.0,1,1100000.0,11.0,0,0,1,1
30,900,12.0,66.0,2,288000.0,4.0,0,0,1,0
34,1156,12.0,36.0,2,750000.0,2.0,1,1,1,1
34,1156,8.0,48.0,4,1300000.0,8.0,0,1,1,1
49,2401,17.0,40.0,4,1200000.0,9.0,0,1,1,1
46,2116,15.0,40.0,4,800000.0,10.0,1,1,1,1
64,4096,13.0,45.0,1,400000.0,1.0,1,0,0,1
30,900,8.0,40.0,2,1000000.0,5.0,0,1,1,1
46,2116,17.0,40.0,5,4500000.0,1.0,1,1,0,1
39,1521,17.0,50.0,3,1200000.0,12.0,1,1,1,1
43,1849,15.0,50.0,3,2000000.0,12.0,0,1,1,1
50,2500,6.0,44.0,2,720000.0,6.0,0,1,1,1
44,1936,9.0,48.0,4,1000000.0,2.0,0,1,0,0
43,1849,9.0,48.0,4,950000.0,6.0,1,1,1,1
27,729,15.0,48.0,4,950000.0,7.0,1,0,1,1
34,1156,15.0,36.0,1,1500000.0,11.0,1,0,1,1
48,2304,17.0,32.0,2,1500000.0,9.0,0,1,1,1
37,1369,17.0,32.0,2,1400000.0,12.0,1,1,1,1
53,2809,17.0,40.0,3,3000000.0,12.0,0,1,1,1
49,2401,12.0,40.0,3,1000000.0,6.0,1,1,1,1
54,2916,12.0,22.0,2,900000.0,1.0,0,1,0,1
49,2401,15.0,100.0,5,1000000.0,11.0,0,1,1,1
36,1296,12.0,54.0,5,900000.0,9.0,0,1,1,1
31,961,12.0,54.0,5,1600000.0,2.0,1,1,1,1
45,2025,12.0,43.0,1,1450000.0,11.0,0,0,1,1
46,2116,17.0,36.0,3,1000000.0,10.0,0,1,1,1
58,3364,17.0,30.0,3,1300000.0,12.0,1,0,1,1
32,1024,17.0,50.0,1,1800000.0,9.0,1,0,1,1
49,2401,8.0,50.0,5,900000.0,1.0,0,1,0,1
43,1849,9.0,50.0,5,1100000.0,7.0,1,1,1,1
23,529,8.0,50.0,5,950000.0,1.0,1,1,0,0
73,5329,6.0,2.0,11,20000.0,1.0,0,0,0,1
27,729,14.0,16.0,4,800000.0,4.0,1,0,0,0
45,2025,6.0,24.0,4,800000.0,3.0,0,1,0,0
58,3364,12.0,48.0,3,800000.0,1.0,0,0,0,0
45,2025,17.0,68.0,3,300000.0,2.0,1,1,0,1
43,1849,12.0,68.0,3,300000.0,2.0,0,1,0,1
