edad,edad2,educ,horastrabj,nhogar,P21,PP04C,mujer,casado_unido,tiene_cobertura_salud,informal_2024
30,900,12.0,40.0,3,1100000.0,11.0,0,0,1,0
24,576,12.0,40.0,3,1200000.0,7.0,0,0,1,0
58,3364,17.0,45.0,3,2500000.0,11.0,1,0,1,0
25,625,17.0,45.0,3,900000.0,11.0,1,0,1,0
52,2704,8.0,32.0,4,800000.0,9.0,0,0,1,0
34,1156,15.0,45.0,4,1100000.0,12.0,1,1,1,0
32,1024,15.0,45.0,4,892000.0,6.0,0,1,1,0
46,2116,12.0,36.0,4,0.0,3.0,1,1,1,0
45,2025,9.0,0.0,3,400000.0,2.0,1,0,0,0
44,1936,12.0,42.0,1,1800000.0,9.0,0,0,1,0
58,3364,6.0,48.0,3,900000.0,8.0,0,0,1,0
62,3844,7.0,44.0,4,2000000.0,6.0,0,0,1,0
53,2809,17.0,40.0,4,1900000.0,2.0,0,1,1,0
47,2209,17.0,50.0,3,1000000.0,11.0,0,1,1,0
49,2401,17.0,50.0,3,700000.0,7.0,1,1,1,0
32,1024,12.0,48.0,4,800000.0,8.0,0,1,1,0
54,2916,15.0,30.0,2,820000.0,8.0,1,0,1,0
55,3025,15.0,30.0,5,750000.0,9.0,1,1,1,0
29,841,16.0,30.0,5,450000.0,2.0,1,0,0,0
45,2025,15.0,44.0,4,1000000.0,8.0,1,1,1,0
43,1849,12.0,44.0,4,1250000.0,1.0,0,1,1,0
45,2025,6.0,50.0,1,1800000.0,9.0,0,0,1,0
74,5476,10.0,70.0,2,400000.0,4.0,0,1,1,1
61,3721,6.0,70.0,2,100000.0,1.0,1,1,1,0
46,2116,12.0,45.0,4,900000.0,12.0,0,1,1,0
45,2025,15.0,45.0,4,1600000.0,8.0,1,1,1,0
44,1936,17.0,48.0,4,1000000.0,2.0,0,0,1,0
26,676,15.0,48.0,4,730000.0,7.0,1,0,1,1
55,3025,12.0,25.0,16,1200000.0,12.0,0,1,1,0
32,1024,7.0,25.0,16,640000.0,3.0,1,0,1,1
25,625,8.0,25.0,16,660000.0,11.0,1,0,1,0
41,1681,16.0,48.0,3,1200000.0,4.0,1,0,1,0
53,2809,9.0,48.0,2,1200000.0,1.0,0,1,1,0
28,784,12.0,44.0,4,900000.0,6.0,0,0,0,0
21,441,12.0,44.0,4,800000.0,1.0,1,0,0,0
49,2401,12.0,45.0,1,700000.0,12.0,0,0,1,0
58,3364,12.0,30.0,7,800000.0,11.0,0,1,1,0
52,2704,15.0,30.0,7,700000.0,9.0,1,1,1,0
63,3969,15.0,30.0,1,720000.0,9.0,0,0,1,0
34,1156,8.0,48.0,4,1300000.0,8.0,0,1,1,0
46,2116,17.0,40.0,5,4500000.0,1.0,1,1,1,1
39,1521,17.0,50.0,3,1200000.0,12.0,1,1,1,0
34,1156,15.0,36.0,1,1500000.0,11.0,1,0,1,0
49,2401,12.0,40.0,3,1000000.0,6.0,1,1,1,1
54,2916,12.0,22.0,2,900000.0,1.0,0,1,1,0
49,2401,15.0,100.0,5,1000000.0,11.0,0,1,1,0
36,1296,12.0,54.0,5,900000.0,9.0,0,1,1,0
31,961,12.0,54.0,5,1600000.0,2.0,1,1,1,0
45,2025,12.0,43.0,1,1450000.0,11.0,0,0,1,0
58,3364,17.0,30.0,3,1300000.0,12.0,1,0,1,0
42,1764,12.0,45.0,1,950000.0,8.0,0,0,1,0
41,1681,12.0,36.0,1,1700000.0,8.0,0,0,1,0
50,2500,10.0,48.0,1,900000.0,3.0,0,0,0,0
24,576,12.0,30.0,7,800000.0,7.0,0,0,1,0
31,961,12.0,100.0,5,450000.0,6.0,1,1,1,1
56,3136,15.0,25.0,1,950000.0,7.0,0,0,1,0
60,3600,9.0,66.0,3,1200000.0,6.0,1,1,1,0
60,3600,14.0,40.0,2,1400000.0,11.0,0,1,1,0
39,1521,14.0,40.0,2,1500000.0,8.0,1,1,1,0
66,4356,6.0,33.0,2,800000.0,1.0,0,1,1,0
63,3969,14.0,52.0,2,1600000.0,1.0,0,1,1,0
44,1936,15.0,10.0,4,350000.0,1.0,1,1,1,0
44,1936,17.0,10.0,4,1800000.0,12.0,0,1,1,0
27,729,8.0,12.0,4,240000.0,1.0,0,0,0,0
52,2704,13.0,40.0,1,1000000.0,5.0,0,0,1,0
43,1849,15.0,42.0,3,800000.0,1.0,0,0,1,0
23,529,12.0,44.0,6,650000.0,6.0,1,0,1,0
22,484,12.0,44.0,6,720000.0,4.0,0,0,0,0
33,1089,12.0,40.0,2,800000.0,3.0,1,0,0,0
59,3481,12.0,35.0,1,1200000.0,9.0,1,0,1,0
50,2500,12.0,40.0,2,2000000.0,7.0,0,1,1,0
50,2500,14.0,40.0,2,2800000.0,9.0,1,1,1,0
49,2401,17.0,52.0,4,2000000.0,3.0,0,1,1,0
47,2209,15.0,52.0,4,2000000.0,9.0,1,1,1,0
57,3249,17.0,25.0,4,800000.0,9.0,0,0,1,0
53,2809,13.0,45.0,2,1500000.0,9.0,0,1,1,0
48,2304,12.0,45.0,2,1100000.0,8.0,1,1,1,0
42,1764,12.0,48.0,4,750000.0,9.0,0,1,1,0
63,3969,12.0,30.0,3,1500000.0,11.0,0,1,1,0
60,3600,17.0,30.0,3,3700000.0,10.0,1,1,1,0
